SampleID,SubjectID,commonloungetime_hr,floor,hoursoutside,lastshower_day,personalvcommon,plants,roomateids,roomates,sample_type,samplenum,sex,sheetwashfreq_week,subjectid,surface,surfaceaggregated,surfacegroup,timepoint,washlast_day,windowsopenhours
1.Bed.Sheet.2,1,0.17,6,9,0.54,Personal,0,NA,0,surface,209,male,4.5,1,Bed.Sheet,Bed Sheet,Hand,2,0,2
1.Bed.Sheet.3,1,0.05,6,13,0.33,Personal,0,NA,0,surface,546,male,3,1,Bed.Sheet,Bed Sheet,Hand,3,21,15
1.Bed.Sheet.4,1,0,6,1.5,0.75,Personal,0,NA,0,surface,301,male,4,1,Bed.Sheet,Bed Sheet,Hand,4,7,10
1.Desk.2,1,0.17,6,9,0.54,Personal,0,NA,0,surface,205,male,4.5,1,Desk,Desk,Hand,2,0,2
1.Desk.3,1,0.05,6,13,0.33,Personal,0,NA,0,surface,542,male,3,1,Desk,Desk,Hand,3,21,15
1.Desk.4,1,0,6,1.5,0.75,Personal,0,NA,0,surface,305,male,4,1,Desk,Desk,Hand,4,7,10
1.Door.Handle.2,1,0.17,6,9,0.54,Personal,0,NA,0,surface,208,male,4.5,1,Door.Handle,Door Handle,Hand,2,0,2
1.Door.Handle.3,1,0.05,6,13,0.33,Personal,0,NA,0,surface,543,male,3,1,Door.Handle,Door Handle,Hand,3,21,15
1.Door.Handle.4,1,0,6,1.5,0.75,Personal,0,NA,0,surface,302,male,4,1,Door.Handle,Door Handle,Hand,4,7,10
1.Floor.2,1,0.17,6,9,0.54,Personal,0,NA,0,surface,210,male,4.5,1,Floor,Floor,Floor,2,0,2
1.Floor.3,1,0.05,6,13,0.33,Personal,0,NA,0,surface,544,male,3,1,Floor,Floor,Floor,3,21,15
1.Floor.4,1,0,6,1.5,0.75,Personal,0,NA,0,surface,300,male,4,1,Floor,Floor,Floor,4,7,10
1.Hand.1,1,NA,6,NA,NA,Personal,NA,NA,0,skin,57,male,NA,1,Hand,Hand,Hand,1,NA,NA
1.Hand.2,1,0.17,6,9,0.54,Personal,0,NA,0,skin,207,male,4.5,1,Hand,Hand,Hand,2,0,2
1.Hand.3,1,0.05,6,13,0.33,Personal,0,NA,0,skin,541,male,3,1,Hand,Hand,Hand,3,21,15
1.Hand.4,1,0,6,1.5,0.75,Personal,0,NA,0,skin,304,male,4,1,Hand,Hand,Hand,4,7,10
1.Shoe.2,1,0.17,6,9,0.54,Personal,0,NA,0,surface,206,male,4.5,1,Shoe,Shoe,Floor,2,0,2
1.Shoe.3,1,0.05,6,13,0.33,Personal,0,NA,0,surface,545,male,3,1,Shoe,Shoe,Floor,3,21,15
1.Shoe.4,1,0,6,1.5,0.75,Personal,0,NA,0,surface,303,male,4,1,Shoe,Shoe,Floor,4,7,10
10.Bed.Sheet.2,10,0,7,1,0.25,Personal,0,NA,0,surface,107,male,2,10,Bed.Sheet,Bed Sheet,Hand,2,2,0
10.Bed.Sheet.3,10,15,7,4,1,Personal,0,NA,0,surface,287,male,2,10,Bed.Sheet,Bed Sheet,Hand,3,7,0
10.Bed.Sheet.4,10,10,7,3,0.5,Personal,0,NA,0,surface,355,male,8,10,Bed.Sheet,Bed Sheet,Hand,4,14,5
10.Desk.2,10,0,7,1,0.25,Personal,0,NA,0,surface,115,male,2,10,Desk,Desk,Hand,2,2,0
